Sub_County,Beach_Management_Units,WEIGHT_KGS,VALUE_KSHS,Date,OBJECTID
Kisumu West,Usoma,631,118320,1/31/2016,0
Kisumu West,Ngege,773,116750,1/31/2016,1
Kisumu West,Usare,3485,476850,1/31/2016,2
Kisumu West,Rota,1332,130030,1/31/2016,3
Kisumu West,Rare,3633,454810,1/31/2016,4
Kisumu West,Mawembe,814,118800,1/31/2016,5
Kisumu West,Ogal,6966,990900,1/31/2016,6
Kisumu West,Paga,9185,1558050,1/31/2016,7
Kisumu West,Usoma,726,113730,2/29/2016,8
Kisumu West,Ngege,0,0,2/29/2016,9
Kisumu West,Usare,1185,162500,2/29/2016,10
Kisumu West,Rota,7591,726270,2/29/2016,11
Kisumu West,Rare,3134,276380,2/29/2016,12
Kisumu West,Mawembe,973,107350,2/29/2016,13
Kisumu West,Ogal,6104,685460,2/29/2016,14
Kisumu West,Paga,9788,1218335,2/29/2016,15
Kisumu West,Usoma,790,107870,3/31/2016,16
Kisumu West,Ngege,931,116500,3/31/2016,17
Kisumu West,Usare,4219,548470,3/31/2016,18
Kisumu West,Rota,1514,181680,3/31/2016,19
Kisumu West,Paga,8618,1601050,3/31/2016,20
Kisumu West,Rare,4186,472610,3/31/2016,21
Kisumu West,Mawembe,1714,222820,3/31/2016,22
Kisumu West,Ogal,7988,1012210,3/31/2016,23
